chain_id,day,user_id,length,score_mean,score_min
36280,1,3639415,2,0.881,0.881
36281,0,1030586,2,0.653,0.653
36281,1,3611391,2,0.653,0.653
36282,0,244154,2,0.8965,0.8965
36282,1,3731070,2,0.8965,0.8965
36283,0,899518,2,0.7053,0.7053
36283,1,1953997,2,0.7053,0.7053
36284,0,1817022,2,0.6575,0.6575
36284,1,3516877,2,0.6575,0.6575
36285,0,1161664,2,0.7083,0.7083
36285,1,4811217,2,0.7083,0.7083
36286,0,899520,2,0.8726,0.8726
36286,1,3918989,2,0.8726,0.8726
36287,0,1817023,2,0.6596,0.6596
36287,1,4724545,2,0.6596,0.6596
36288,0,375239,2,0.7917,0.7917
36288,1,5640439,2,0.7917,0.7917
36289,0,113095,2,0.8055,0.8055
36289,1,2034881,2,0.8055,0.8055
36290,0,1161678,2,0.7361,0.7361
36290,1,3873429,2,0.7361,0.7361
36291,0,1161679,2,0.8213,0.8213
36291,1,1433367,2,0.8213,0.8213
36292,0,637398,2,0.9159,0.9159
36292,1,1396225,2,0.9159,0.9159
36293,0,506334,2,0.8633,0.8633
36293,1,1893663,2,0.8633,0.8633
36294,0,1030625,2,0.7583,0.7583
36294,1,2187504,2,0.7583,0.7583
36295,0,1948133,2,0.65,0.65
36295,1,4297512,2,0.65,0.65
36296,0,1423847,2,0.65,0.65
36296,1,4721141,2,0.65,0.65
36297,0,113131,2,0.8862,0.8862
36297,1,1467845,2,0.8862,0.8862
36298,0,375286,2,0.6568,0.6568
36298,1,4346827,2,0.6568,0.6568
36299,0,768503,2,0.8583,0.8583
36299,1,1910361,2,0.8583,0.8583
36300,0,768509,2,0.8862,0.8862
36300,1,3737370,2,0.8862,0.8862
36301,0,1948159,2,0.6554,0.6554
36301,1,2246315,2,0.6554,0.6554
36302,0,768511,2,0.6583,0.6583
36302,1,1643696,2,0.6583,0.6583
36303,0,899586,2,0.825,0.825
36303,1,2076346,2,0.825,0.825
36304,0,768519,2,0.7292,0.7292
36304,1,1666101,2,0.7292,0.7292
36305,0,899602,2,0.651,0.651
36305,1,1938601,2,0.651,0.651
36306,0,4438548,2,0.65,0.65
36306,1,2006832,2,0.65,0.65
36307,0,637465,2,0.6973,0.6973
36307,1,4541692,2,0.6973,0.6973
36308,0,899609,2,0.8333,0.8333
36308,1,3575785,2,0.8333,0.8333
36309,0,1161756,2,0.65,0.65
36309,1,2046166,2,0.65,0.65
36310,0,899616,2,0.7869,0.7869
36310,1,3786458,2,0.7869,0.7869
36311,0,2341409,2,0.6579,0.6579
36311,1,4347559,2,0.6579,0.6579
36312,0,1554977,2,0.65,0.65
36312,1,4545399,2,0.65,0.65
36313,0,1161763,2,0.6544,0.6544
36313,1,4360075,2,0.6544,0.6544
36314,0,899619,2,0.8705,0.8705
36314,1,1848466,2,0.8705,0.8705
36315,0,375332,2,0.9207,0.9207
36315,1,3910355,2,0.9207,0.9207
36316,0,506409,2,0.7909,0.7909
36316,1,5797262,2,0.7909,0.7909
36317,0,899627,2,0.7327,0.7327
36317,1,1706226,2,0.7327,0.7327
36318,0,375339,2,0.8979,0.8979
36318,1,2061788,2,0.8979,0.8979
36319,0,768557,2,0.6527,0.6527
36319,1,2196342,2,0.6527,0.6527
36320,0,2603573,2,0.675,0.675
36320,1,4630344,2,0.675,0.675
36321,0,244280,2,0.6583,0.6583
