X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-851468.263952713,-1011128.44918539,UKVSUM103,50.227697999999997,12.851539000000001,-851468,-1011128
-840974.553363841,-1009734.35683024,BKVKYS3,50.254815000000001,12.993796000000000,-840975,-1009734
-858503.667452362,-999008.538908982,VKVYNE104,50.325305999999998,12.727213000000001,-858504,-999009
-839978.169348604,-1007577.31574926,BKVRAD1,50.275364000000003,13.002907000000000,-839978,-1007577
-852461.73702798,-1009462.42989048,UKVDVO103,50.241086000000003,12.834114000000000,-852462,-1009462
-853284.430748394,-1005794.53143021,BKVMEZ2,50.272486999999998,12.814619000000000,-853284,-1005795
-858692.001697281,-1013845.4749993,VSOYLO102,50.193328999999999,12.757605000000000,-858692,-1013845
-850217.313500414,-1011159.65369212,UKVBER102,50.229187000000003,12.868923000000001,-850217,-1011160
-855648.473398204,-1005470.79894978,BKVNVR3,50.272005999999998,12.781154000000001,-855648,-1005471
-853745.849810662,-1011381.40355592,UKVDVR101,50.222230000000003,12.820575000000000,-853746,-1011381
-849286.225807192,-1009420.61767696,UKVBOH104,50.245941999999999,12.877990000000000,-849286,-1009421
-849644.874194732,-1011642.02328817,BKVSAD4,50.225710999999997,12.877907000000000,-849645,-1011642
-858503.667452362,-999008.538908982,VKVYNE102,50.325305999999998,12.727213000000001,-858504,-999009
-852778.801343367,-1010857.69580359,UKVCHE204,50.228248999999998,12.832803000000000,-852779,-1010858
-843154.064417261,-1003562.95391094,BKVOST3,50.306578000000002,12.950119000000001,-843154,-1003563
-850217.313500414,-1011159.65369212,UKVBER203,50.229187000000003,12.868923000000001,-850217,-1011160
-871887.933024452,-993512.747888857,BSOSTR1,50.354813000000000,12.529249000000000,-871888,-993513
-858765.23348314,-1008518.91828546,BSOCHO4,50.240510000000000,12.744764000000000,-858765,-1008519
-840828.376700177,-996345.733948751,BKVSUC4,50.373930999999999,12.966604000000000,-840828,-996346
-847194.984152851,-1009679.65810288,BKVVSE4,50.246586000000001,12.907518000000000,-847195,-1009680
-850294.262843696,-1010237.35323499,DKVPAN1,50.237268000000000,12.865829000000000,-850294,-1010237
-852778.801343367,-1010857.69580359,UKVCHE202,50.228248999999998,12.832803000000000,-852779,-1010858
-843794.115199249,-997536.480698754,BKVJAS4,50.359200000000001,12.928034999999999,-843794,-997536
-854107.126377542,-992416.042340744,BKVHBL2,50.390093000000000,12.773536000000000,-854107,-992416
-853591.42749296,-1013121.04086188,UKVSTU104,50.207003000000000,12.826551000000000,-853591,-1013121
-850294.262843696,-1010237.35323499,UKVPAN103,50.237268000000000,12.865829000000000,-850294,-1010237
-853591.42749296,-1013121.04086188,UKVSTU202,50.207003000000000,12.826551000000000,-853591,-1013121
-849918.84626857,-1011228.57433722,UKVTGM101,50.228996000000002,12.873206000000000,-849919,-1011229
-849918.84626857,-1011228.57433722,UKVTGM102,50.228996000000002,12.873206000000000,-849919,-1011229
-850217.313500414,-1011159.65369212,BKVBER3,50.229187000000003,12.868923000000001,-850217,-1011160
-865383.757191598,-993242.393308874,BSOPRB0,50.366616999999998,12.618861000000001,-865384,-993242
-857618.898768264,-999905.301183768,BKVNEJ2,50.318607999999998,12.741479000000000,-857619,-999905
-844271.031180916,-1036149.65341142,BKVTOU4,50.015591999999998,13.005578000000000,-844271,-1036150
-839978.169348604,-1007577.31574926,BKVRAD3,50.275364000000003,13.002907000000000,-839978,-1007577
-853745.849810662,-1011381.40355592,BKVDVR3,50.222230000000003,12.820575000000000,-853746,-1011381
-847194.984152851,-1009679.65810288,BKVVSE1,50.246586000000001,12.907518000000000,-847195,-1009680
-843380.857262755,-997576.224011536,BKVJMA3,50.359426999999997,12.933859000000000,-843381,-997576
-843536.948142994,-997108.459028148,VKVYJM102,50.363362000000002,12.930666000000000,-843537,-997108
-858927.127951846,-1014041.71851363,BSOLOK4,50.191251999999999,12.754789000000001,-858927,-1014042
-853745.849810662,-1011381.40355592,BKVDVR1,50.222230000000003,12.820575000000000,-853746,-1011381
